m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,325,32,48,1,0,16,0,15,15,15,"-1,0,1,0","0,2,-3,1",2,6,3,-3,3,0,3,0,0,-3,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,328,27,40,0,1,13,0,13,13,13,"0,-1,1,0","0,1,-2,1",2,4,2,-1,3,1,2,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,332,45,66,0,1,22,0,22,22,22,"-1,2,-3,2","-1,1,1,-1",8,4,1,0,3,2,2,0,0,-1,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,335,42,63,1,0,21,0,20,20,20,"-1,3,-3,1","-1,0,0,1",8,2,-2,4,3,5,1,1,0,2,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,339,19,30,1,1,9,0,9,9,9,"0,1,0,-1","0,0,-1,1",2,2,-3,1,0,3,2,0,0,3,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,348,27,42,0,1,13,0,13,13,13,"-1,1,-1,1","0,0,-1,1",4,2,2,1,3,1,0,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,349,4,8,1,0,2,0,1,1,1,"0,0,0,0","-1,1,0,0",0,2,0,1,4,4,3,1,1,0,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,349,226,348,1,0,113,0,112,112,112,"0,0,0,0","-1,2,-2,1",0,6,0,0,4,4,4,1,1,0,0,1,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,352,220,339,0,0,110,1,110,110,110,"1,-2,2,-1","-2,4,-4,2",6,12,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,357,13,20,1,1,6,0,6,6,6,"1,0,-1,0","-1,1,-1,1",2,4,-3,2,0,3,1,0,0,3,1,0,1,"1,1",1:1|0:1|1:1,2,2048
